Description,Price,Rating,Review_count,Url
"Big and Tall Gaming Chair - HyperX Ruby - Red Gaming Chair - Leather Upholstery Gaming Chair for Heavy People, Adjustable Lumbar Support - Ergonomic Gaming Chairs for Adults - PC Gaming Chair - Nordic",$469.99,4.0 out of 5 stars,6,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg18_1?ie=UTF8&adId=A0875262337Y95P38CYKK&url=%2FHyperX-Ruby-Gaming-Chair-Upholstery%2Fdp%2FB07JK15CY2%2Fref%3Dsr_1_825_sspa%3Fkeywords%3DGaming%2BChair%26qid%3D1658103580%26sr%3D8-825-spons%26psc%3D1&qualifier=1658103580&id=7225804552437109&widgetName=sp_btf
"Gaming Chair, JOYFLY Gaming Chair Gamer Chair for Ergonomic PC Computer Gaming Chair for Adults with High Back, Headrest, and Lumbar Support(Black-White)",$149.99,4.4 out of 5 stars,23,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg18_1?ie=UTF8&adId=A06001293H6YH43FZFV55&url=%2FJOYFLY-Ergonomic-Computer-Headrest-Black-White%2Fdp%2FB0B51FK389%2Fref%3Dsr_1_826_sspa%3Fkeywords%3DGaming%2BChair%26qid%3D1658103580%26sr%3D8-826-spons%26psc%3D1&qualifier=1658103580&id=7225804552437109&widgetName=sp_btf
KingCamp Oversized Lumbar Support Folding Camping Chair High Back Ergonom Outdoor Chair Padded Arm Camping Chair with Cup Holder for Adults Travel Picnic Hiking Indoor Supports 300 lbs.,$69.99,3.4 out of 5 stars,2,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg18_1?ie=UTF8&adId=A03522692X1VZPLI5VPAX&url=%2FKingCamp-Oversized-Support-Folding-Supports%2Fdp%2FB09KGVKTFG%2Fref%3Dsr_1_827_sspa%3Fkeywords%3DGaming%2BChair%26qid%3D1658103580%26sr%3D8-827-spons%26psc%3D1&qualifier=1658103580&id=7225804552437109&widgetName=sp_btf
KingCamp Lumbar Support Folding Camping Chair Hard Arm High Back Ergonom Outdoor Camping Chair for Adults with Pocket for Adults Travel Picnic Hiking and Indoor Supports 300 lbs.,$64.99,3.5 out of 5 stars,6,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg18_1?ie=UTF8&adId=A03603373VUJTFNPGFLWE&url=%2FKingCamp-Support-Folding-Camping-Supports%2Fdp%2FB09KGCJ68P%2Fref%3Dsr_1_828_sspa%3Fkeywords%3DGaming%2BChair%26qid%3D1658103580%26sr%3D8-828-spons%26psc%3D1&qualifier=1658103580&id=7225804552437109&widgetName=sp_btf
"KingCamp Camping Chair Oversized Padded Moon Round Saucer Chairs Camping Folding Chair with Cup Holder,Storage Bag,Carry Bag for Camping, Hiking Fishing Sports Blue&Gray Camping Chair",$89.99,4.5 out of 5 stars,88,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg19_1?ie=UTF8&adId=A03533172IESNDVQBMSYX&url=%2FKingCamp-Camping-Oversized-Folding-Storage%2Fdp%2FB099RM975P%2Fref%3Dsr_1_865_sspa%3Fkeywords%3DGaming%2BChair%26qid%3D1658103584%26sr%3D8-865-spons%26psc%3D1%26smid%3DA1HFN0T2NQL7N6&qualifier=1658103584&id=2355538348501411&widgetName=sp_atf_next
"Halter Mesh Office Chair Ergonomic with Back Support, Comfortable Desk Chair for Women, Men, Kids, Adjustable, Rolling, Swivel Seat, Perfect Comfy Computer Chair for Study, Work, Gaming, Black",$89.99,4.0 out of 5 stars,257,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg19_1?ie=UTF8&adId=A0898785IRE9GLOZWV1C&url=%2FHalter-Ergonomic-Executive-Adjustable-Smooth-Glide%2Fdp%2FB089MCN5BT%2Fref%3Dsr_1_866_sspa%3Fkeywords%3DGaming%2BChair%26qid%3D1658103584%26sr%3D8-866-spons%26psc%3D1&qualifier=1658103584&id=2355538348501411&widgetName=sp_atf_next
"Gaming Chair Ergonomic Office Chair PU Leather Computer Chair High Back Desk Chair Adjustable Swivel Task Chair with Lumbar Support/Adjustable Armrests, Black/Red",$98.87,4.3 out of 5 stars,78,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg19_1?ie=UTF8&adId=A07268191E9HE9ZTJTQON&url=%2FErgonomic-Leather-Computer-Adjustable-Armrests%2Fdp%2FB09T9JT33H%2Fref%3Dsr_1_867_sspa%3Fkeywords%3DGaming%2BChair%26qid%3D1658103584%26sr%3D8-867-spons%26psc%3D1&qualifier=1658103584&id=2355538348501411&widgetName=sp_atf_next
"Ergonomic Office Chair, KERDOM Home Desk Chair, Comfy Breathable Mesh Task Chair, High Back Thick Cushion Computer Chair with Headrest and 3D Armrests, Adjustable Height Home Gaming Chair F-White",$259.99,4.2 out of 5 stars,513,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg19_1?ie=UTF8&adId=A039407311QR1FVCHMRM7&url=%2FErgonomic-KERDOM-Breathable-Computer-Adjustable%2Fdp%2FB099DVH3LY%2Fref%3Dsr_1_868_sspa%3Fkeywords%3DGaming%2BChair%26qid%3D1658103584%26sr%3D8-868-spons%26psc%3D1%26smid%3DA2IJD0JJS3FCJE&qualifier=1658103584&id=2355538348501411&widgetName=sp_atf_next
"Skelang Office Chair Base 28 Inches, Desk Chair Base Part with Reinforced Metal Leg, Gaming Chair Bottom Replacement, 2645Lbs Load Capacity",$34.77,5.0 out of 5 stars,4,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg19_1?ie=UTF8&adId=A0354945U5P9EY10MBVM&url=%2FSkelang-Reinforced-Replacement-2645Lbs-Capacity%2Fdp%2FB09Q8JL7JR%2Fref%3Dsr_1_869_sspa%3Fkeywords%3DGaming%2BChair%26qid%3D1658103584%26sr%3D8-869-spons%26psc%3D1&qualifier=1658103584&id=2355538348501411&widgetName=sp_mtf
"X-Chair X4 High End Executive Chair, Black Leather with Headrest - Ergonomic Office Seat/Dynamic Variable Lumbar Support/Floating Recline/Stunning Aesthetic/Adjustable/Perfect for Office or Boardroom","$1,349.99",4.3 out of 5 stars,106,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg19_1?ie=UTF8&adId=A10370922DP7WP8Q0E9MG&url=%2FChair-Leather-Executive-Black-Headrest%2Fdp%2FB01HTYUPQI%2Fref%3Dsr_1_870_sspa%3Fkeywords%3DGaming%2BChair%26qid%3D1658103584%26sr%3D8-870-spons%26psc%3D1&qualifier=1658103584&id=2355538348501411&widgetName=sp_mtf
